algorithm,timing,ranks,repeat,core_seconds,face_pipeline_seconds,face_exchange_seconds,vertex_wait_seconds,compute_imbalance,element_imbalance,volume_elements_sum,face_payload_receive_bytes,predicted_actual_correlation,compute_wait_correlation,cut_before,cut_after,partition_moves,compute_max_seconds,compute_mean_seconds,vertex_wait_mean_seconds,face_completion_spread,vertex_arrival_spread,post_face_compute_max_seconds,face_completion_wait_correlation,partition_adopted,partition_proposed_moves,closure_total_before,closure_total_after,closure_max_before,closure_max_after,candidate_closure_total,candidate_closure_max,seed_max_seconds,candidate_max_seconds,partition_rejection_flags,metis_partition_seconds,partition_cost_setup_seconds,partition_cost_balance_seconds,phase_0_max_seconds,phase_0_prediction_wape,phase_1_max_seconds,phase_1_prediction_wape,phase_2_max_seconds,phase_2_prediction_wape,phase_3_max_seconds,phase_3_prediction_wape
sparse,natural,2048,1,14.90908753399981,0.4511348559999533,0.24474233000046297,,1.2879252153240277,1.55136143553302,2552900608,28109144,0.42570490999576543,,14861,14861,0,10.468152466999527,8.127919495982425,,0.006891763000112405,4.2050177969995275,10.468812353999965,,0,0,0,0,0,0,0,0,0,0,0,2.1105068400001983,0.38975968400018246,0.03216820399984499,0.022021191000021645,,8.800380612000026,,2.219242633000249,,0.08358797699975185,
sparse,natural,2048,2,14.936940262000007,0.4639928609999515,0.24175940800023454,,1.2816897619997973,1.55136143553302,2552900608,28109144,0.42692961297633375,,14861,14861,0,10.418425184999705,8.12866381076808,,0.0015543360000265238,4.206114369000261,10.419132115000139,,0,0,0,0,0,0,0,0,0,0,0,2.1952064969996172,0.39353462500002934,0.03138125500026945,0.02381363099993905,,8.761626571999841,,2.142908710000029,,0.06766769700016084,
sparse,natural,2048,3,15.243457290000151,0.5049111409998659,0.24458609300017997,,1.2967180889473515,1.55136143553302,2552900608,28109144,0.42617674741461387,,14861,14861,0,10.540846170999885,8.128864909686516,,0.026771507000376005,4.290964520000216,10.541557859000022,,0,0,0,0,0,0,0,0,0,0,0,2.1164439780000066,0.38545523400034654,0.03163047699990784,0.023430800999904022,,8.876415312000063,,2.1389178790000187,,0.07244180600036998,
sparse,natural,2048,4,15.061609678999957,0.5011090029997831,0.24532919600005698,,1.2907031034292193,1.55136143553302,2552900608,28109144,0.4275940020161249,,14861,14861,0,10.49309660300014,8.129752361423348,,0.010150888999760355,4.200992262,10.49382813200009,,0,0,0,0,0,0,0,0,0,0,0,2.166580784999951,0.3889575319999494,0.03252760799978205,0.022781064999890077,,8.776747462000003,,2.138332489000277,,0.07057778199987297,
sparse,natural,2048,5,14.860706630000095,0.4401160229999732,0.24029269199991177,,1.2817932908720326,1.55136143553302,2552900608,28109144,0.42687102379287245,,14861,14861,0,10.418314099000327,8.12792060404101,,0.024623511000299914,4.210041223999724,10.419042528999853,,0,0,0,0,0,0,0,0,0,0,0,2.11774434400013,0.3881110819997957,0.031850873999701435,0.022368681999978435,,8.787271738000072,,2.1591143639998336,,0.06879886400020041,
sparse,split,2048,1,15.069434567999906,0.5288871620000464,0.24015461099997992,4.256064574999982,1.2892129196011985,1.55136143553302,2552900608,28109144,0.4269750164629268,-0.9999998769131981,14861,14861,0,10.481492078999963,8.130148185485357,2.352294144303716,0.016906646999814257,4.255846715000189,10.482174647999727,-0.014845728242014699,0,0,0,0,0,0,0,0,0,0,0,2.238388056999611,0.3881930860002285,0.031237813000188908,0.022367733999999473,,8.797535320999941,,2.1520019099998535,,0.06956645199988998,
sparse,split,2048,2,14.925545363999845,0.46126564299993333,0.2384592779999366,4.286150152000118,1.292526474304308,1.55136143553302,2552900608,28109144,0.4314256077979195,-0.9999998725174443,14861,14861,0,10.504082346999894,8.126783130421861,2.3773646784379823,0.011836969999421854,4.285915259999911,10.504782196000178,-0.01875485889103202,0,0,0,0,0,0,0,0,0,0,0,2.0912560810002105,0.39253465399997367,0.031397615000059886,0.022840878999886627,,8.839812012000039,,2.105972794000081,,0.06762006000053589,
sparse,split,2048,3,14.98741933600013,0.4465638389997366,0.24033447899955718,4.41654355799983,1.3044171738460992,1.55136143553302,2552900608,28109144,0.4270578794722476,-0.9999998710459878,14861,14861,0,10.602566173000014,8.12820191698193,2.4743149342514648,0.001984429000003729,4.416379429000244,10.603317442999924,0.015633801948330927,0,0,0,0,0,0,0,0,0,0,0,2.098227310999846,0.3888363109999773,0.031443695000234584,0.021635100999901624,,8.93156950699995,,2.156690011000137,,0.06904472300038833,
sparse,split,2048,4,15.177837345000171,0.5613175389999014,0.31466512699989835,4.22048190500027,1.2923729063950855,1.55136143553302,2552900608,28109144,0.42718734985598017,-0.9999998723317012,14861,14861,0,10.504276246000245,8.12789883943066,2.3764559208979543,0.021007740999721136,4.220232527999997,10.50495965500022,0.020381673393804315,0,0,0,0,0,0,0,0,0,0,0,2.0838869869999144,0.38392157500038593,0.032086716999856435,0.02174162500023158,,8.836312955999801,,2.177791174000049,,0.09120580499984499,
sparse,split,2048,5,15.055430222000268,0.44564438599991263,0.23913421699990067,4.275988153000071,1.2947885633333913,1.55136143553302,2552900608,28109144,0.4273847170861859,-0.9999998708760002,14861,14861,0,10.524702852001155,8.12851082411915,2.396191697525392,0.0015588230003231729,4.275759594000192,10.525629523000134,-0.0029365865106042387,0,0,0,0,0,0,0,0,0,0,0,2.099833179000143,0.38721843199982686,0.03297230699990905,0.022422507999635855,,8.844903320000412,,2.1595410720001382,,0.070230256999821,
